aircraft_id,tail_number,aircraft_type,operator,fleet_id,entry_service_date,manufacturer,total_flight_hours,base_airport,active
287,N535CC,B757-200,Spirit Airlines,FLEET-020,2014-08-05,Boeing,44589,JFK,True
288,N671YN,MD-11F,JetBlue Airways,FLEET-014,2019-03-26,Boeing,25900,MSP,True
289,N249OV,B737-900,UPS Airlines,FLEET-015,2010-02-26,Boeing,46954,BOS,True
290,N651YE,B747-400F,Spirit Airlines,FLEET-006,2011-10-05,Boeing,22201,DEN,True
291,N929EJ,B737-900,American Airlines,FLEET-017,2010-12-23,Boeing,7539,ORD,True
292,N155JC,A320-200,Southwest Airlines,FLEET-017,2018-10-28,Airbus,17405,JFK,True
293,N310UJ,B777-200,Spirit Airlines,FLEET-005,2019-02-21,Boeing,20410,MSP,True
294,N484SE,B757-200,Spirit Airlines,FLEET-019,2013-12-31,Boeing,7073,ORD,True
295,N682BA,A320-200,Frontier Airlines,FLEET-019,2013-01-24,Airbus,32750,ATL,True
296,N788YS,B777-200,Frontier Airlines,FLEET-007,2014-02-26,Boeing,52577,DEN,True
297,N893JU,A330-300,American Airlines,FLEET-018,2015-03-19,Airbus,34162,JFK,True
298,N782CW,B777-200,Alaska Airlines,FLEET-015,2018-10-19,Boeing,7409,DFW,True
299,N483GK,A330-300,Alaska Airlines,FLEET-015,2017-03-30,Airbus,10936,MSP,True
300,N874EY,A320-200,UPS Airlines,FLEET-013,2015-03-02,Airbus,56698,SEA,True
301,N119OD,A320-200,Delta Air Lines,FLEET-008,2016-03-13,Airbus,30357,JFK,True
302,N709JM,B737-900,United Airlines,FLEET-002,2018-08-29,Boeing,24230,MSP,True
303,N287XK,A320-200,United Airlines,FLEET-019,2013-11-19,Airbus,51163,LAX,True
304,N269PJ,MD-11F,JetBlue Airways,FLEET-015,2010-05-03,Boeing,33260,MIA,True
305,N430HG,MD-11F,Alaska Airlines,FLEET-015,2010-07-03,Boeing,49278,MSP,True
306,N198TU,B777-200,American Airlines,FLEET-016,2018-02-11,Boeing,15766,MIA,True
307,N380EI,B737-900,American Airlines,FLEET-014,2018-04-10,Boeing,25276,SEA,True
308,N259BS,B737-800,UPS Airlines,FLEET-013,2012-05-04,Boeing,41315,BOS,True
309,N168MQ,B777-200,Spirit Airlines,FLEET-003,2019-02-09,Boeing,13212,MIA,True
310,N518DE,B747-400F,FedEx Express,FLEET-020,2019-12-26,Boeing,3428,ATL,True
311,N659YE,MD-11F,UPS Airlines,FLEET-012,2013-10-13,Boeing,34316,LAX,True
312,N687BB,MD-11F,Alaska Airlines,FLEET-002,2020-07-04,Boeing,55783,ORD,True
313,N247ET,MD-11F,JetBlue Airways,FLEET-015,2016-11-26,Boeing,34257,BOS,True
314,N908MT,A320-200,Frontier Airlines,FLEET-006,2019-10-03,Airbus,4908,JFK,True
315,N765PW,MD-11F,Spirit Airlines,FLEET-018,2020-07-17,Boeing,13565,MSP,True
316,N437VD,A320-200,American Airlines,FLEET-011,2019-11-08,Airbus,17679,DEN,True
317,N276IU,B747-400F,American Airlines,FLEET-016,2019-05-17,Boeing,41110,MSP,True
318,N349FQ,B747-400F,American Airlines,FLEET-016,2016-10-29,Boeing,52422,MSP,True
319,N185BS,B757-200,Alaska Airlines,FLEET-008,2013-09-02,Boeing,43111,ATL,True
320,N996EN,A320-200,JetBlue Airways,FLEET-014,2010-04-01,Airbus,29166,LAX,True
321,N318WE,A330-300,Frontier Airlines,FLEET-002,2014-11-03,Airbus,28436,BOS,True
322,N128MK,A330-300,UPS Airlines,FLEET-017,2010-07-17,Airbus,10452,ORD,True
323,N360LV,A320-200,Spirit Airlines,FLEET-018,2010-04-01,Airbus,38382,JFK,True
324,N389RJ,B767-300,Southwest Airlines,FLEET-009,2015-04-12,Boeing,12237,LAX,False
325,N967WW,B777-200,FedEx Express,FLEET-007,2020-01-04,Boeing,46352,MIA,True
326,N850JD,MD-11F,UPS Airlines,FLEET-009,2013-02-22,Boeing,27079,MSP,True
327,N628YZ,A321-200,Alaska Airlines,FLEET-012,2010-07-16,Airbus,54901,ORD,True
328,N516OU,B737-900,FedEx Express,FLEET-012,2012-12-14,Boeing,37489,JFK,True
329,N253IR,B767-300,Southwest Airlines,FLEET-018,2018-09-10,Boeing,33730,JFK,True
330,N974HB,B747-400F,Frontier Airlines,FLEET-008,2014-05-11,Boeing,50272,BOS,True
331,N935NK,B737-800,Southwest Airlines,FLEET-004,2011-04-25,Boeing,58797,MIA,True
332,N548FN,B737-800,United Airlines,FLEET-018,2016-04-01,Boeing,41636,MIA,True
333,N758JU,B777-200,Southwest Airlines,FLEET-011,2016-10-20,Boeing,52570,DFW,True
334,N143RX,B747-400F,Delta Air Lines,FLEET-008,2012-11-25,Boeing,51304,DFW,True
335,N375BM,A321-200,United Airlines,FLEET-006,2017-03-05,Airbus,50442,MIA,True
336,N296JS,B737-800,FedEx Express,FLEET-001,2011-09-09,Boeing,54954,MSP,True
337,N405UR,B777-200,UPS Airlines,FLEET-015,2016-05-13,Boeing,6602,BOS,True
338,N229IG,MD-11F,United Airlines,FLEET-015,2019-10-24,Boeing,59992,ATL,True
339,N875AX,B777-200,JetBlue Airways,FLEET-006,2010-07-14,Boeing,18233,SEA,True
340,N474TU,B767-300,Frontier Airlines,FLEET-006,2011-11-02,Boeing,19379,DEN,True
341,N559MV,A320-200,Spirit Airlines,FLEET-003,2014-11-17,Airbus,18358,ATL,True
342,N866HA,A330-300,United Airlines,FLEET-011,2019-10-27,Airbus,39676,JFK,True
343,N274JS,B777-200,JetBlue Airways,FLEET-011,2020-10-07,Boeing,57764,MSP,True
344,N505VD,B767-300,UPS Airlines,FLEET-002,2012-06-02,Boeing,12527,MIA,True
345,N318WD,MD-11F,Alaska Airlines,FLEET-010,2016-05-13,Boeing,11380,JFK,True
346,N979PE,B767-300,Southwest Airlines,FLEET-005,2015-03-28,Boeing,16279,MIA,True
347,N874WR,A320-200,Frontier Airlines,FLEET-014,2020-08-12,Airbus,16677,MIA,True
348,N366ZC,B767-300,Southwest Airlines,FLEET-020,2014-06-25,Boeing,40358,BOS,True
349,N967DB,B737-900,UPS Airlines,FLEET-019,2019-11-24,Boeing,54049,BOS,True
350,N390EF,B747-400F,Southwest Airlines,FLEET-018,2015-06-09,Boeing,41804,SEA,True
351,N209WS,B737-900,JetBlue Airways,FLEET-007,2010-04-10,Boeing,29807,MIA,True
352,N903OE,A330-300,Spirit Airlines,FLEET-002,2015-06-18,Airbus,27477,BOS,True
353,N699OV,B737-800,Frontier Airlines,FLEET-018,2017-05-27,Boeing,19589,JFK,True
354,N375XG,B777-200,Alaska Airlines,FLEET-001,2011-02-03,Boeing,48138,MSP,True
355,N402RB,A320-200,Alaska Airlines,FLEET-003,2014-09-14,Airbus,40278,ATL,False
356,N934NF,B737-800,JetBlue Airways,FLEET-010,2014-01-25,Boeing,53202,ORD,True
357,N502OM,A320-200,Alaska Airlines,FLEET-013,2014-03-12,Airbus,22883,DEN,True
358,N485DF,B757-200,Spirit Airlines,FLEET-012,2011-12-22,Boeing,6051,BOS,True
359,N116YA,B767-300,United Airlines,FLEET-001,2014-06-06,Boeing,30835,JFK,True
360,N883MH,A321-200,Spirit Airlines,FLEET-018,2019-05-11,Airbus,48804,LAX,True
361,N754XY,B777-200,United Airlines,FLEET-007,2019-05-03,Boeing,12843,ATL,True
362,N629HG,B747-400F,Alaska Airlines,FLEET-001,2014-04-13,Boeing,21508,ATL,True
363,N831VW,A330-300,American Airlines,FLEET-020,2011-10-27,Airbus,6958,DFW,True
364,N815HR,A321-200,American Airlines,FLEET-015,2012-08-10,Airbus,35631,LAX,True
365,N219JH,B757-200,American Airlines,FLEET-017,2011-04-23,Boeing,35085,MSP,True
366,N716JE,A320-200,Frontier Airlines,FLEET-008,2011-03-07,Airbus,45228,BOS,True
367,N209RS,B777-200,FedEx Express,FLEET-002,2011-09-28,Boeing,11146,ORD,True
368,N322BL,MD-11F,Alaska Airlines,FLEET-016,2019-08-05,Boeing,56804,DEN,True
369,N289EJ,A321-200,UPS Airlines,FLEET-014,2013-03-13,Airbus,15046,DEN,True
370,N388HJ,A330-300,Spirit Airlines,FLEET-008,2016-10-29,Airbus,15929,ORD,True
371,N815NR,MD-11F,American Airlines,FLEET-014,2012-01-01,Boeing,37546,BOS,True
372,N236KU,B777-200,Southwest Airlines,FLEET-007,2018-10-07,Boeing,20599,ATL,True
373,N692XG,B737-900,UPS Airlines,FLEET-018,2013-06-25,Boeing,25736,DFW,True
374,N650CG,B747-400F,Frontier Airlines,FLEET-002,2014-04-30,Boeing,17152,MSP,True
375,N502GK,B767-300,Spirit Airlines,FLEET-016,2016-02-09,Boeing,17382,JFK,False
376,N476XD,B767-300,American Airlines,FLEET-007,2016-10-27,Boeing,29468,MIA,True
377,N304HR,B767-300,Frontier Airlines,FLEET-013,2019-02-15,Boeing,36779,SEA,True
378,N686UL,A330-300,Alaska Airlines,FLEET-018,2020-05-04,Airbus,41233,JFK,True
379,N521DZ,A330-300,Spirit Airlines,FLEET-015,2013-08-05,Airbus,59754,MIA,True
380,N278KN,B767-300,UPS Airlines,FLEET-012,2012-10-18,Boeing,30866,DFW,True
381,N396IR,B757-200,Southwest Airlines,FLEET-001,2019-03-31,Boeing,45856,MSP,True
382,N920GK,B777-200,Alaska Airlines,FLEET-005,2018-02-09,Boeing,7538,LAX,True
383,N207UV,A330-300,Southwest Airlines,FLEET-018,2010-12-02,Airbus,32375,SEA,True
384,N872FX,A330-300,JetBlue Airways,FLEET-015,2017-04-15,Airbus,55470,SEA,True
385,N573RU,A330-300,Spirit Airlines,FLEET-006,2020-07-15,Airbus,25940,DFW,True
386,N779NE,B737-800,Delta Air Lines,FLEET-001,2011-11-22,Boeing,2978,LAX,True
387,N495QO,B737-800,United Airlines,FLEET-007,2013-03-07,Boeing,5216,SEA,True
388,N469AA,A330-300,Frontier Airlines,FLEET-016,2013-03-17,Airbus,32976,BOS,True
389,N175XI,B737-800,American Airlines,FLEET-017,2011-11-28,Boeing,41685,BOS,False
390,N775ZF,MD-11F,American Airlines,FLEET-014,2016-02-20,Boeing,31908,ATL,True
391,N367GT,B757-200,Spirit Airlines,FLEET-008,2018-07-30,Boeing,32395,BOS,True
392,N550CL,B777-200,UPS Airlines,FLEET-013,2016-12-14,Boeing,50750,DEN,True
393,N858VC,B767-300,Southwest Airlines,FLEET-010,2015-12-23,Boeing,31085,DFW,True
394,N733PB,A321-200,Alaska Airlines,FLEET-018,2017-12-29,Airbus,52882,DFW,True
395,N823UZ,A330-300,Delta Air Lines,FLEET-014,2011-09-10,Airbus,42570,SEA,True
396,N791HG,MD-11F,Delta Air Lines,FLEET-002,2010-01-06,Boeing,37656,MSP,True
397,N512RS,B737-900,American Airlines,FLEET-009,2013-10-10,Boeing,11513,DFW,True
398,N771SE,B737-800,UPS Airlines,FLEET-007,2013-01-07,Boeing,25295,DEN,True
399,N174HS,B757-200,FedEx Express,FLEET-019,2010-04-03,Boeing,57630,DEN,True
400,N450YX,A320-200,Spirit Airlines,FLEET-013,2011-05-11,Airbus,22468,ORD,True
401,N453BD,MD-11F,Delta Air Lines,FLEET-012,2010-02-16,Boeing,4682,DEN,True
402,N157YT,A320-200,Delta Air Lines,FLEET-020,2017-12-10,Airbus,58863,MSP,True
403,N950ZO,B737-800,UPS Airlines,FLEET-009,2013-02-09,Boeing,21206,MIA,True
404,N348FV,A321-200,Spirit Airlines,FLEET-014,2013-01-17,Airbus,8101,MSP,True
405,N807ZH,B747-400F,Delta Air Lines,FLEET-010,2014-04-04,Boeing,27391,ATL,True
406,N148XM,A321-200,United Airlines,FLEET-005,2017-09-28,Airbus,50833,SEA,True
407,N212OL,B737-800,Delta Air Lines,FLEET-010,2016-06-25,Boeing,49468,JFK,True
408,N671OR,B757-200,Delta Air Lines,FLEET-014,2016-01-10,Boeing,47003,BOS,True
409,N780LR,B737-800,Delta Air Lines,FLEET-003,2017-12-12,Boeing,9476,ATL,True
410,N182JN,A321-200,UPS Airlines,FLEET-001,2011-02-07,Airbus,45015,DEN,True
411,N654QF,B767-300,Spirit Airlines,FLEET-019,2014-06-26,Boeing,56046,DEN,True
412,N633PE,B777-200,FedEx Express,FLEET-009,2018-03-18,Boeing,36867,ATL,True
413,N239PZ,A321-200,FedEx Express,FLEET-010,2016-07-30,Airbus,29205,ATL,True
414,N404TG,A330-300,Southwest Airlines,FLEET-020,2020-12-09,Airbus,26522,MIA,True
415,N888KT,B737-800,FedEx Express,FLEET-013,2010-07-21,Boeing,16747,DEN,True
416,N812NU,A330-300,UPS Airlines,FLEET-011,2016-10-16,Airbus,43239,MSP,True
417,N774PK,B747-400F,UPS Airlines,FLEET-007,2020-08-05,Boeing,26877,ORD,False
418,N970SZ,B777-200,UPS Airlines,FLEET-016,2010-09-03,Boeing,2801,LAX,True
419,N957DS,A321-200,FedEx Express,FLEET-012,2015-11-22,Airbus,37259,LAX,True
420,N744AX,B757-200,Spirit Airlines,FLEET-018,2015-09-26,Boeing,39226,MIA,False
421,N866WC,A330-300,Southwest Airlines,FLEET-010,2018-04-03,Airbus,9398,DEN,True
422,N560IV,B777-200,United Airlines,FLEET-008,2012-10-04,Boeing,24751,ORD,True
423,N517TP,B737-900,Alaska Airlines,FLEET-015,2014-04-06,Boeing,41619,MSP,True
424,N198BZ,A321-200,Spirit Airlines,FLEET-018,2012-04-21,Airbus,2236,SEA,True
425,N783DY,B747-400F,Spirit Airlines,FLEET-003,2020-02-10,Boeing,26777,LAX,True
426,N311BS,B757-200,UPS Airlines,FLEET-020,2013-12-01,Boeing,32188,DEN,False
427,N792AD,A321-200,UPS Airlines,FLEET-004,2017-05-26,Airbus,2347,JFK,True
428,N429WS,MD-11F,Spirit Airlines,FLEET-019,2015-05-17,Boeing,17064,LAX,True
429,N558WQ,A330-300,Alaska Airlines,FLEET-019,2011-06-17,Airbus,22597,ORD,True
430,N694JN,A330-300,American Airlines,FLEET-004,2015-01-20,Airbus,40123,ATL,True
431,N700KO,A320-200,United Airlines,FLEET-010,2015-01-04,Airbus,28157,LAX,True
432,N700OX,A330-300,UPS Airlines,FLEET-004,2011-07-23,Airbus,37720,MIA,True
433,N778AK,B737-800,FedEx Express,FLEET-004,2016-03-21,Boeing,9474,ATL,True
434,N856FR,B767-300,United Airlines,FLEET-017,2011-05-12,Boeing,56945,ORD,True
435,N732ZM,A330-300,Alaska Airlines,FLEET-008,2017-02-19,Airbus,7362,ORD,True
436,N502XT,A321-200,Alaska Airlines,FLEET-001,2018-04-06,Airbus,49908,LAX,True
437,N405WG,A321-200,Alaska Airlines,FLEET-001,2017-07-07,Airbus,38327,LAX,True
438,N345ZR,B747-400F,Delta Air Lines,FLEET-004,2020-05-13,Boeing,56564,ORD,True
439,N186IV,A330-300,Southwest Airlines,FLEET-004,2018-07-20,Airbus,18558,MIA,True
440,N794TM,B747-400F,UPS Airlines,FLEET-013,2018-09-06,Boeing,55581,MSP,True
441,N141FV,A330-300,UPS Airlines,FLEET-020,2014-03-18,Airbus,11516,JFK,True
442,N662KD,B737-900,Frontier Airlines,FLEET-005,2013-08-23,Boeing,47075,LAX,True
443,N538QM,A320-200,United Airlines,FLEET-005,2012-04-29,Airbus,13503,DEN,True
444,N227FP,A321-200,Frontier Airlines,FLEET-014,2011-06-19,Airbus,3816,BOS,True
445,N211PJ,MD-11F,United Airlines,FLEET-006,2015-09-04,Boeing,2459,ORD,True
446,N899LA,B747-400F,JetBlue Airways,FLEET-002,2011-05-31,Boeing,32108,MIA,True
447,N876UP,MD-11F,Alaska Airlines,FLEET-017,2016-06-16,Boeing,17050,DEN,True
448,N838FC,A330-300,Alaska Airlines,FLEET-016,2015-09-18,Airbus,5648,MSP,True
449,N590IH,B777-200,Southwest Airlines,FLEET-002,2011-04-29,Boeing,28921,BOS,True
450,N748RQ,B747-400F,JetBlue Airways,FLEET-016,2014-05-06,Boeing,57622,ATL,True
451,N829RY,MD-11F,FedEx Express,FLEET-012,2015-08-23,Boeing,8463,DFW,True
452,N453ND,MD-11F,JetBlue Airways,FLEET-007,2020-06-24,Boeing,16760,LAX,True
453,N221LC,A330-300,American Airlines,FLEET-009,2017-03-14,Airbus,41838,MIA,True
454,N862ZX,B767-300,Delta Air Lines,FLEET-007,2017-09-12,Boeing,59615,MSP,True
455,N635TE,A321-200,Frontier Airlines,FLEET-006,2019-01-17,Airbus,43885,LAX,True
456,N226RI,B747-400F,American Airlines,FLEET-012,2016-08-11,Boeing,22089,MSP,True
457,N598SI,B777-200,UPS Airlines,FLEET-010,2019-04-22,Boeing,27741,BOS,False
458,N496BI,B757-200,Delta Air Lines,FLEET-014,2011-08-15,Boeing,43436,ORD,True
459,N632WK,B767-300,United Airlines,FLEET-005,2014-11-11,Boeing,8609,LAX,True
460,N260SU,A330-300,Alaska Airlines,FLEET-005,2015-12-19,Airbus,30480,JFK,True
461,N917UZ,A330-300,Alaska Airlines,FLEET-003,2014-03-11,Airbus,17727,ATL,True
462,N430PK,A320-200,FedEx Express,FLEET-015,2014-02-22,Airbus,54756,MSP,True
463,N796CZ,A330-300,Delta Air Lines,FLEET-012,2010-02-19,Airbus,46335,BOS,True
464,N805IK,B767-300,Alaska Airlines,FLEET-016,2018-01-16,Boeing,51143,JFK,True
465,N633PZ,B757-200,Frontier Airlines,FLEET-019,2011-05-24,Boeing,28123,SEA,True
466,N344UZ,B737-800,American Airlines,FLEET-004,2012-12-11,Boeing,53813,MIA,True
467,N625AN,A330-300,United Airlines,FLEET-015,2013-01-07,Airbus,40081,LAX,False
468,N490IC,B777-200,United Airlines,FLEET-006,2020-06-30,Boeing,51501,SEA,True
469,N212MU,B757-200,UPS Airlines,FLEET-002,2013-12-03,Boeing,53969,JFK,True
470,N343WD,A321-200,Southwest Airlines,FLEET-003,2011-08-31,Airbus,27138,DFW,True
471,N197HQ,B757-200,Delta Air Lines,FLEET-019,2011-12-26,Boeing,7878,MIA,True
472,N313WE,B737-900,UPS Airlines,FLEET-014,2015-06-05,Boeing,30455,MIA,True
473,N457DK,B737-900,Alaska Airlines,FLEET-004,2012-08-14,Boeing,26305,SEA,True
474,N675UV,A321-200,United Airlines,FLEET-005,2013-11-07,Airbus,34499,ORD,True
475,N914UF,B737-800,Frontier Airlines,FLEET-020,2011-11-09,Boeing,53800,MIA,True
476,N497TV,B757-200,Southwest Airlines,FLEET-014,2012-04-14,Boeing,18898,MIA,True
477,N282YD,B737-900,Delta Air Lines,FLEET-005,2011-03-03,Boeing,51988,MSP,True
478,N286ZE,A321-200,UPS Airlines,FLEET-011,2018-12-19,Airbus,12570,LAX,True
479,N844TT,B767-300,Delta Air Lines,FLEET-018,2012-11-16,Boeing,37163,MSP,True
480,N281QT,B777-200,American Airlines,FLEET-007,2011-10-03,Boeing,51823,BOS,True
481,N563ZZ,B777-200,Alaska Airlines,FLEET-002,2015-10-08,Boeing,38665,LAX,True
482,N457UT,B767-300,Delta Air Lines,FLEET-016,2015-08-30,Boeing,39172,ATL,True
483,N591EM,A320-200,American Airlines,FLEET-011,2017-06-10,Airbus,35924,MSP,True
484,N934YC,B757-200,Spirit Airlines,FLEET-016,2013-05-09,Boeing,42228,DFW,True
485,N953BB,B777-200,American Airlines,FLEET-007,2011-07-31,Boeing,45042,DEN,True
486,N339WM,A321-200,Spirit Airlines,FLEET-014,2019-09-24,Airbus,29963,ATL,True
487,N688IC,B747-400F,Spirit Airlines,FLEET-005,2011-01-03,Boeing,11305,JFK,True
488,N824KM,B757-200,Southwest Airlines,FLEET-018,2019-10-11,Boeing,10598,MSP,True
489,N643XH,B777-200,Delta Air Lines,FLEET-014,2012-05-19,Boeing,55556,DFW,True
490,N122TT,B737-900,Alaska Airlines,FLEET-015,2018-08-27,Boeing,24144,DFW,True
491,N169WE,B737-900,United Airlines,FLEET-001,2016-04-12,Boeing,39310,DFW,True
492,N963ZX,MD-11F,UPS Airlines,FLEET-017,2018-07-11,Boeing,22688,JFK,True
493,N245YA,B777-200,United Airlines,FLEET-004,2015-12-22,Boeing,54805,SEA,True
494,N922IW,MD-11F,FedEx Express,FLEET-003,2017-04-13,Boeing,8449,MSP,True
495,N223LB,A330-300,JetBlue Airways,FLEET-017,2015-10-31,Airbus,12294,MIA,True
496,N114IY,A320-200,United Airlines,FLEET-006,2019-09-14,Airbus,13915,ATL,True
497,N513AB,B767-300,Delta Air Lines,FLEET-017,2020-02-28,Boeing,32990,DFW,True
498,N928EF,A320-200,JetBlue Airways,FLEET-013,2019-12-15,Airbus,13185,DFW,True
499,N992HN,B767-300,Alaska Airlines,FLEET-011,2016-12-09,Boeing,5615,SEA,True
500,N867DQ,B747-400F,Delta Air Lines,FLEET-012,2013-06-08,Boeing,45260,DFW,True
